actor,name,red,yellow,blue,keywordProvide,cost,keywordCost,action,effect,details
Gazinia,Gazinia,,,,"water, claws, teeth",,,Can turn invisible,"Made of armor, heavy armor",
Gazinia,Claw,4,4,2,,3,claws,attack |x|: strength |x| + 6,basic wound,
Gazinia,Claw,4,4,2,,3,claws,attack |x|: strength |x| + 6,basic wound,
Gazinia,Claw,4,4,2,,3,claws,attack |x|: strength |x| + 6,basic wound,
Gazinia,Rend,5,2,3,,2,claws,attack |x|: strength |x| + 3,basic wound,
Gazinia,Rend,5,2,3,,2,claws,attack |x|: strength |x| + 3,basic wound,
Gazinia,Rend,5,2,3,,2,claws,attack |x|: strength |x| + 3,basic wound,
Gazinia,Bite,5,3,2,,2,teeth,attack |z|: strength |x| + 5,basic wound,
Gazinia,Bite,5,3,2,,2,teeth,attack |z|: strength |x| + 5,basic wound,
Gazinia,Bite,5,3,2,,2,teeth,attack |z|: strength |x| + 5,basic wound,
Gazinia,Claw grab,6,4,3,,2,claws,attack |x|: strength |x| + 2,"basic wound, skip next turn",
Gazinia,Claw grab,6,4,3,,2,claws,attack |x|: strength |x| + 2,"basic wound, skip next turn",
Gazinia,Claw grab,6,4,3,,2,claws,attack |x|: strength |x| + 2,"basic wound, skip next turn",
Gazinia,Super strong,8,3,2,,,,,,
Gazinia,Super strong,8,3,2,,,,,,
Gazinia,Super strong,8,3,2,,,,,,
Gazinia,magical strength,7,0,7,,,,,,
Gazinia,magical strength,7,0,7,,,,,,
Gazinia,magical strength,7,0,7,,,,,,
Gazinia,magical strength,7,0,7,,,,,,
Gazinia,Water breath,2,3,5,,1,water,attack |z|: strength |x| + 4,basic wound,hits multiple opponents
Gazinia,Water breath,2,3,5,,1,water,attack |z|: strength |x| + 4,basic wound,hits multiple opponents
Gazinia,Water breath,2,3,5,,1,water,attack |z|: strength |x| + 4,basic wound,hits multiple opponents
Gazinia,Become invisible,2,2,6,,0,,action : Ignore all attacks this turn,,
Gazinia,Become invisible,2,2,6,,0,,action : Ignore all attacks this turn,,
,,,,,,,,,,
,,,,,,,,,,
Fire-horned crusher,Fire-horned crusher,,,,"fire, claws, teeth, tail",,,,"scales, light armor",
Fire-horned crusher,claw,4,4,2,,2,claw,attack |x|: strength |x| + 4,basic wound,
Fire-horned crusher,claw,4,4,2,,2,claw,attack |x|: strength |x| + 4,basic wound,
Fire-horned crusher,claw,4,4,2,,2,claw,attack |x|: strength |x| + 4,basic wound,
Fire-horned crusher,Pounce,4,5,2,,3,claw,attack |x|: strength |x| + 5,"basic wound, skip next turn",
Fire-horned crusher,Pounce,4,5,2,,3,claw,attack |x|: strength |x| + 5,"basic wound, skip next turn",
Fire-horned crusher,Pounce,4,5,2,,3,claw,attack |x|: strength |x| + 5,"basic wound, skip next turn",
Fire-horned crusher,Bite,4,3,3,,1,teeth,attack |x|: strength |x| + 2,basic wound,
Fire-horned crusher,Bite,4,3,3,,1,teeth,attack |x|: strength |x| + 2,basic wound,
Fire-horned crusher,Bite,4,3,3,,1,teeth,attack |x|: strength |x| + 2,basic wound,
Fire-horned crusher,tail spike,5,3,2,,2,tail,attack |x|: strength |x| + 5,basic wound,
Fire-horned crusher,tail spike,5,3,2,,2,tail,attack |x|: strength |x| + 5,basic wound,
Fire-horned crusher,tail spike,5,3,2,,2,tail,attack |x|: strength |x| + 5,basic wound,
Fire-horned crusher,Really big,7,4,2,,,,,,
Fire-horned crusher,Really big,7,4,2,,,,,,
Fire-horned crusher,Flexible tail,4,7,2,,,,,,
Fire-horned crusher,Flexible tail,4,7,2,,,,,,
Fire-horned crusher,Super strong,8,3,2,,,,,,
Fire-horned crusher,Super strong,8,3,2,,,,,,
Fire-horned crusher,Super strong,8,3,2,,,,,,
Fire-horned crusher,fire breath,6,2,4,,2,fire,attack |x| : strength |x| +2,basic wound,hits multiple opponents
Fire-horned crusher,fire breath,6,2,4,,2,fire,attack |x| : strength |x| +2,basic wound,hits multiple opponents
Fire-horned crusher,fire breath,6,2,4,,2,fire,attack |x| : strength |x| +2,basic wound,hits multiple opponents
Fire-horned crusher,Tail slap back,3,6,2,,1,tail,Action : any ranged attacks hit a random enemy instead,,
Fire-horned crusher,Tail slap back,3,6,2,,1,tail,Action : any ranged attacks hit a random enemy instead,,
,,,,,,,,,,
,,,,,,,,,,
Ice serpent,Ice serpent,,,,"ice, teeth, scales, tail",,,Light armor,,
Ice serpent,Ice breath,2,5,6,,1,ice,attack |y| : strength |z| +5,basic wound,
Ice serpent,Ice breath,2,5,6,,1,ice,attack |y| : strength |z| +5,basic wound,
Ice serpent,Ice breath,2,5,6,,1,ice,attack |y| : strength |z| +5,basic wound,
Ice serpent,Ice breath,2,5,6,,1,ice,attack |y| : strength |z| +5,basic wound,
Ice serpent,Tail slap,4,4,2,,1,tail,attack |x| : strength |y| + 3,basic wound,
Ice serpent,Tail slap,4,4,2,,1,tail,attack |x| : strength |y| + 3,basic wound,
Ice serpent,Tail slap,4,4,2,,1,tail,attack |x| : strength |y| + 3,basic wound,
Ice serpent,Tail slap,4,4,2,,1,tail,attack |x| : strength |y| + 3,basic wound,
Ice serpent,Bite,4,6,2,,2,teeth,attack |x| : strength |y| +4,basic wound,
Ice serpent,Bite,4,6,2,,2,teeth,attack |x| : strength |y| +4,basic wound,
Ice serpent,Bite,4,6,2,,2,teeth,attack |x| : strength |y| +4,basic wound,
Ice serpent,Bite,4,6,2,,2,teeth,attack |x| : strength |y| +4,basic wound,
Ice serpent,Icy ground,2,5,5,,3,ice,attack |y| : strength |z| + 4,"minor: knockdown, major: knockdown + daze, critical: knockdown + daze 2 + stun 2",ignore armor
Ice serpent,Icy ground,2,5,5,,3,ice,attack |y| : strength |z| + 4,"minor: knockdown, major: knockdown + daze, critical: knockdown + daze 2 + stun 2",ignore armor
Ice serpent,Really big,7,4,2,,,,,,
Ice serpent,Really big,7,4,2,,,,,,
